Date,Region,Product,Salesperson,Units,UnitPrice,Revenue
2025-02-08,West,Headphones,Rahul Verma,8,3662,29296
2025-02-08,South,Smartwatch,Ananya Iyer,2,8299,16598
2025-02-08,West,Laptop,Divya Nair,1,56223,56223
2025-02-09,South,Laptop,Divya Nair,5,54112,270560
2025-02-09,West,Monitor,Priya Singh,6,12422,74532
2025-02-09,West,Tablet,Divya Nair,9,17164,154476
2025-02-09,North,Smartphone,Vikram Rao,4,22542,90168
2025-02-09,West,Laptop,Priya Singh,8,53165,425320
2025-02-10,North,Laptop,Ananya Iyer,1,53863,53863
2025-02-10,East,Headphones,Rahul Verma,4,3510,14040
2025-02-10,South,Smartphone,Rahul Verma,2,22240,44480
2025-02-10,West,Smartwatch,Sneha Gupta,8,8330,66640
2025-02-11,South,Headphones,Vikram Rao,8,3414,27312
2025-02-11,North,Headphones,Vikram Rao,9,3380,30420
2025-02-11,West,Tablet,Vikram Rao,7,18342,128394
2025-02-12,East,Smartphone,Karan Mehta,8,21134,169072
2025-02-12,West,Smartwatch,Ananya Iyer,10,7836,78360
2025-02-12,East,Laptop,Karan Mehta,5,52294,261470
2025-02-12,North,Smartwatch,Divya Nair,5,8220,41100
2025-02-12,South,Smartwatch,Ananya Iyer,4,8109,32436
2025-02-13,East,Monitor,Rahul Verma,2,12484,24968
2025-02-13,North,Tablet,Divya Nair,1,18143,18143
2025-02-13,South,Laptop,Vikram Rao,6,56361,338166
2025-02-13,South,Smartphone,Rahul Verma,9,22828,205452
2025-02-13,East,Smartwatch,Vikram Rao,3,7805,23415
2025-02-13,West,Tablet,Ananya Iyer,2,17942,35884
2025-02-14,South,Smartphone,Karan Mehta,9,21704,195336
2025-02-14,West,Laptop,Vikram Rao,9,52929,476361
2025-02-15,East,Smartwatch,Karan Mehta,6,7686,46116
2025-02-15,South,Headphones,Amit Sharma,10,3634,36340
2025-02-15,East,Smartwatch,Sneha Gupta,2,8108,16216
2025-02-15,West,Monitor,Vikram Rao,7,11540,80780
2025-02-16,North,Tablet,Divya Nair,2,17274,34548
2025-02-16,South,Headphones,Divya Nair,6,3559,21354
2025-02-17,West,Smartwatch,Rahul Verma,7,8123,56861
2025-02-17,West,Smartwatch,Karan Mehta,5,7626,38130
2025-02-17,East,Smartphone,Divya Nair,8,22991,183928
2025-02-17,East,Laptop,Ananya Iyer,9,57209,514881
2025-02-17,East,Laptop,Karan Mehta,5,53293,266465
2025-02-17,North,Headphones,Priya Singh,4,3549,14196
2025-02-18,North,Laptop,Ananya Iyer,4,57688,230752
2025-02-18,South,Laptop,Sneha Gupta,10,53437,534370
2025-02-18,South,Tablet,Rahul Verma,10,17105,171050
2025-02-18,South,Smartphone,Vikram Rao,3,21141,63423
2025-02-18,North,Smartphone,Amit Sharma,6,22637,135822
2025-02-18,South,Smartwatch,Ananya Iyer,1,7739,7739
2025-02-19,South,Monitor,Karan Mehta,9,11536,103824
2025-02-19,North,Headphones,Divya Nair,6,3504,21024
2025-02-20,West,Smartwatch,Sneha Gupta,10,7634,76340
2025-02-20,East,Headphones,Amit Sharma,1,3674,3674
2025-02-21,West,Monitor,Priya Singh,8,12254,98032
2025-02-21,West,Laptop,Priya Singh,6,55595,333570
2025-02-21,North,Smartphone,Vikram Rao,10,22292,222920
2025-02-21,East,Headphones,Vikram Rao,8,3501,28008
2025-02-21,West,Laptop,Priya Singh,9,56214,505926
2025-02-22,West,Headphones,Sneha Gupta,7,3443,24101
2025-02-22,West,Headphones,Karan Mehta,2,3434,6868
2025-02-22,East,Monitor,Vikram Rao,6,12544,75264
2025-02-23,North,Laptop,Priya Singh,2,54625,109250
2025-02-23,East,Smartphone,Amit Sharma,10,23004,230040
2025-02-23,East,Monitor,Priya Singh,7,11824,82768
2025-02-23,West,Monitor,Amit Sharma,5,12120,60600
2025-02-23,East,Laptop,Sneha Gupta,3,55862,167586
2025-02-24,North,Tablet,Ananya Iyer,2,18472,36944
2025-02-24,South,Headphones,Amit Sharma,10,3650,36500
2025-02-24,East,Laptop,Rahul Verma,5,56114,280570
2025-02-25,East,Tablet,Amit Sharma,3,18665,55995
2025-02-25,West,Laptop,Rahul Verma,1,52754,52754
2025-02-25,South,Headphones,Karan Mehta,8,3444,27552
2025-02-25,East,Tablet,Ananya Iyer,10,18173,181730
2025-02-26,South,Smartphone,Amit Sharma,2,21498,42996
2025-02-26,West,Headphones,Divya Nair,7,3420,23940
2025-02-27,North,Tablet,Karan Mehta,2,17609,35218
2025-02-27,West,Smartwatch,Vikram Rao,1,7776,7776
2025-02-27,North,Laptop,Sneha Gupta,5,57449,287245
2025-02-27,South,Tablet,Vikram Rao,6,17315,103890
2025-02-27,West,Monitor,Karan Mehta,3,11555,34665
2025-02-27,South,Smartwatch,Ananya Iyer,2,7917,15834
2025-02-28,West,Laptop,Divya Nair,2,56991,113982
2025-02-28,West,Smartwatch,Karan Mehta,7,7831,54817
2025-03-01,North,Tablet,Rahul Verma,10,17928,179280
2025-03-01,East,Laptop,Karan Mehta,2,53588,107176
2025-03-01,West,Smartwatch,Priya Singh,7,8296,58072
2025-03-01,East,Smartphone,Ananya Iyer,3,21068,63204
2025-03-01,North,Smartwatch,Sneha Gupta,6,7880,47280
2025-03-02,South,Laptop,Rahul Verma,5,53334,266670
2025-03-02,South,Monitor,Priya Singh,3,12541,37623
2025-03-02,West,Headphones,Divya Nair,10,3550,35500
2025-03-03,East,Monitor,Ananya Iyer,3,11927,35781
2025-03-03,West,Headphones,Vikram Rao,5,3531,17655
2025-03-03,East,Smartwatch,Priya Singh,5,7969,39845
2025-03-03,North,Laptop,Ananya Iyer,5,52672,263360
2025-03-03,North,Smartwatch,Karan Mehta,8,8064,64512
2025-03-03,North,Headphones,Sneha Gupta,6,3536,21216
2025-03-04,South,Laptop,Divya Nair,2,56710,113420
2025-03-04,East,Monitor,Priya Singh,9,12175,109575
2025-03-04,North,Smartphone,Divya Nair,8,22052,176416
2025-03-04,South,Tablet,Ananya Iyer,5,17797,88985
2025-03-04,East,Monitor,Amit Sharma,6,11479,68874
2025-03-04,North,Smartwatch,Karan Mehta,5,7801,39005
2025-03-05,South,Tablet,Priya Singh,10,18294,182940
2025-03-05,East,Tablet,Karan Mehta,3,18171,54513
2025-03-05,North,Tablet,Karan Mehta,6,18563,111378
2025-03-05,North,Monitor,Karan Mehta,9,11834,106506
2025-03-05,East,Tablet,Rahul Verma,4,17715,70860
2025-03-05,West,Smartphone,Sneha Gupta,3,21240,63720
2025-03-06,North,Smartwatch,Amit Sharma,6,8301,49806
2025-03-06,South,Smartwatch,Karan Mehta,3,7729,23187
2025-03-06,South,Monitor,Divya Nair,1,11893,11893
2025-03-06,South,Headphones,Vikram Rao,8,3406,27248
2025-03-07,East,Headphones,Sneha Gupta,6,3562,21372
2025-03-07,West,Headphones,Vikram Rao,7,3501,24507
2025-03-07,West,Smartphone,Sneha Gupta,10,21204,212040
2025-03-08,North,Monitor,Divya Nair,6,12065,72390
2025-03-08,North,Monitor,Priya Singh,5,11500,57500
2025-03-08,South,Tablet,Divya Nair,9,17365,156285
2025-03-08,West,Laptop,Sneha Gupta,8,57115,456920
2025-03-09,West,Laptop,Karan Mehta,9,54306,488754
2025-03-09,West,Laptop,Ananya Iyer,4,52405,209620
2025-03-10,East,Smartphone,Rahul Verma,1,21531,21531
2025-03-10,West,Monitor,Rahul Verma,8,11938,95504
2025-03-11,North,Laptop,Vikram Rao,4,56842,227368
2025-03-11,West,Laptop,Vikram Rao,4,53906,215624
2025-03-12,South,Headphones,Divya Nair,2,3363,6726
2025-03-12,West,Smartwatch,Amit Sharma,9,8060,72540
2025-03-13,East,Headphones,Amit Sharma,10,3448,34480
2025-03-13,West,Smartphone,Priya Singh,9,23044,207396
2025-03-13,North,Smartwatch,Amit Sharma,7,8298,58086
2025-03-14,West,Tablet,Vikram Rao,1,17742,17742
2025-03-14,North,Tablet,Sneha Gupta,2,18488,36976
2025-03-15,South,Laptop,Ananya Iyer,9,54112,487008
2025-03-15,South,Monitor,Divya Nair,8,12158,97264
2025-03-15,South,Laptop,Divya Nair,1,53863,53863
2025-03-15,North,Smartphone,Amit Sharma,6,22953,137718
2025-03-16,West,Smartwatch,Divya Nair,5,7629,38145
2025-03-16,South,Tablet,Ananya Iyer,1,18658,18658
2025-03-16,East,Tablet,Priya Singh,6,17886,107316
2025-03-16,West,Monitor,Divya Nair,7,11806,82642
2025-03-16,South,Headphones,Divya Nair,6,3648,21888
2025-03-16,East,Laptop,Karan Mehta,2,54618,109236
2025-03-17,East,Tablet,Priya Singh,2,17690,35380
2025-03-17,East,Tablet,Divya Nair,10,18391,183910
2025-03-17,South,Monitor,Divya Nair,6,11936,71616
2025-03-18,West,Tablet,Amit Sharma,2,18308,36616
2025-03-18,West,Tablet,Rahul Verma,1,17357,17357
2025-03-18,West,Laptop,Rahul Verma,2,53547,107094
2025-03-18,East,Tablet,Karan Mehta,10,17158,171580
2025-03-19,West,Tablet,Ananya Iyer,8,18473,147784
2025-03-19,South,Smartwatch,Ananya Iyer,7,7851,54957
2025-03-19,East,Smartphone,Priya Singh,1,22518,22518
2025-03-20,West,Smartwatch,Priya Singh,5,8219,41095
2025-03-20,West,Smartphone,Vikram Rao,8,21340,170720
2025-03-20,South,Laptop,Divya Nair,3,57192,171576
2025-03-20,West,Laptop,Ananya Iyer,6,56152,336912
2025-03-20,East,Tablet,Rahul Verma,3,18528,55584
2025-03-21,South,Laptop,Sneha Gupta,3,53552,160656
2025-03-21,West,Laptop,Ananya Iyer,9,55397,498573
2025-03-21,West,Smartwatch,Rahul Verma,10,8307,83070
2025-03-21,North,Tablet,Karan Mehta,8,18046,144368
2025-03-21,West,Smartwatch,Priya Singh,3,8377,25131
2025-03-21,North,Headphones,Divya Nair,9,3445,31005
2025-03-22,South,Smartphone,Karan Mehta,9,22903,206127
2025-03-22,North,Laptop,Rahul Verma,5,53155,265775
2025-03-22,East,Monitor,Sneha Gupta,6,12536,75216
2025-03-22,East,Laptop,Vikram Rao,4,55742,222968
2025-03-22,East,Smartphone,Vikram Rao,10,22073,220730
2025-03-22,South,Smartwatch,Rahul Verma,3,8126,24378
2025-03-23,East,Smartwatch,Amit Sharma,1,7664,7664
2025-03-23,East,Monitor,Sneha Gupta,10,11899,118990
2025-03-23,North,Headphones,Vikram Rao,5,3494,17470
2025-03-23,West,Tablet,Divya Nair,2,18339,36678
2025-03-23,South,Headphones,Karan Mehta,8,3487,27896
2025-03-23,East,Smartwatch,Rahul Verma,6,8289,49734
2025-03-24,East,Headphones,Rahul Verma,6,3505,21030
2025-03-24,North,Tablet,Sneha Gupta,8,17320,138560
2025-03-24,West,Smartphone,Rahul Verma,2,21011,42022
2025-03-24,West,Smartwatch,Karan Mehta,4,8370,33480
2025-03-25,East,Smartwatch,Ananya Iyer,4,8210,32840
2025-03-25,West,Smartwatch,Divya Nair,8,8303,66424
2025-03-25,West,Laptop,Priya Singh,7,55029,385203
2025-03-26,South,Smartwatch,Ananya Iyer,1,7640,7640
2025-03-26,West,Smartwatch,Divya Nair,5,8029,40145
2025-03-26,North,Headphones,Rahul Verma,5,3579,17895
2025-03-27,East,Laptop,Karan Mehta,1,55386,55386
2025-03-27,South,Tablet,Vikram Rao,2,17795,35590
2025-03-27,West,Smartwatch,Vikram Rao,10,8144,81440
2025-03-27,North,Smartphone,Priya Singh,7,21721,152047
2025-03-27,East,Smartwatch,Ananya Iyer,3,7759,23277
2025-03-28,West,Smartwatch,Amit Sharma,1,7631,7631
2025-03-28,East,Headphones,Divya Nair,3,3537,10611
2025-03-28,South,Tablet,Ananya Iyer,3,17807,53421
2025-03-28,East,Smartwatch,Ananya Iyer,9,8262,74358
2025-03-28,West,Monitor,Vikram Rao,8,12378,99024
2025-03-28,East,Tablet,Priya Singh,7,18150,127050
2025-03-29,West,Tablet,Sneha Gupta,1,18150,18150
2025-03-29,South,Smartwatch,Karan Mehta,3,8257,24771
2025-03-30,North,Smartwatch,Priya Singh,4,7615,30460
2025-03-30,East,Headphones,Rahul Verma,7,3566,24962
2025-03-30,West,Smartwatch,Divya Nair,1,8164,8164
2025-03-31,South,Smartwatch,Ananya Iyer,8,8020,64160
2025-03-31,East,Smartphone,Divya Nair,9,21653,194877
2025-03-31,East,Monitor,Vikram Rao,10,11981,119810
2025-03-31,South,Tablet,Vikram Rao,4,18794,75176
2025-03-31,East,Tablet,Sneha Gupta,8,17670,141360
2025-03-31,East,Smartwatch,Vikram Rao,5,7697,38485
2025-04-01,West,Headphones,Ananya Iyer,3,3426,10278
2025-04-01,East,Monitor,Priya Singh,6,12508,75048
2025-04-01,East,Monitor,Divya Nair,4,11642,46568
2025-04-01,East,Smartwatch,Vikram Rao,3,7687,23061
2025-04-01,South,Smartphone,Amit Sharma,9,21396,192564
2025-04-01,South,Laptop,Priya Singh,7,54066,378462
2025-04-02,North,Monitor,Rahul Verma,1,12557,12557
2025-04-02,South,Headphones,Divya Nair,8,3552,28416
2025-04-02,East,Tablet,Vikram Rao,1,18734,18734
2025-04-02,North,Monitor,Sneha Gupta,9,12286,110574
2025-04-02,North,Smartphone,Karan Mehta,3,22954,68862
2025-04-03,West,Headphones,Rahul Verma,5,3631,18155
2025-04-03,North,Tablet,Priya Singh,6,17612,105672
2025-04-04,West,Smartphone,Divya Nair,5,21324,106620
2025-04-04,North,Tablet,Rahul Verma,8,18266,146128
2025-04-04,South,Laptop,Ananya Iyer,5,55372,276860
2025-04-04,South,Smartphone,Karan Mehta,7,22033,154231
2025-04-04,North,Headphones,Priya Singh,3,3668,11004
2025-04-04,West,Tablet,Sneha Gupta,1,17569,17569
2025-04-05,West,Tablet,Ananya Iyer,5,18148,90740
2025-04-05,North,Tablet,Ananya Iyer,4,17211,68844
2025-04-05,North,Headphones,Vikram Rao,3,3466,10398
2025-04-06,East,Monitor,Priya Singh,5,11841,59205
2025-04-06,South,Smartphone,Rahul Verma,8,21237,169896
2025-04-06,East,Headphones,Divya Nair,9,3605,32445
2025-04-06,South,Smartphone,Priya Singh,9,21882,196938
2025-04-06,East,Laptop,Priya Singh,1,56808,56808
2025-04-06,South,Smartwatch,Rahul Verma,3,7862,23586
2025-04-07,West,Laptop,Sneha Gupta,10,54938,549380
2025-04-07,West,Laptop,Divya Nair,3,55072,165216
2025-04-07,West,Smartwatch,Amit Sharma,9,7969,71721
2025-04-07,East,Monitor,Amit Sharma,7,11705,81935
2025-04-07,North,Monitor,Sneha Gupta,10,11487,114870
2025-04-07,West,Tablet,Priya Singh,9,18889,170001
2025-04-08,West,Laptop,Vikram Rao,7,53239,372673
2025-04-08,South,Monitor,Karan Mehta,6,12591,75546
2025-04-09,West,Headphones,Karan Mehta,2,3563,7126
2025-04-09,South,Monitor,Ananya Iyer,2,11614,23228
2025-04-09,West,Smartwatch,Rahul Verma,4,8267,33068
2025-04-09,North,Tablet,Divya Nair,9,17863,160767
2025-04-09,West,Smartphone,Sneha Gupta,8,21661,173288
2025-04-10,South,Monitor,Priya Singh,1,12371,12371
2025-04-10,West,Smartwatch,Amit Sharma,4,7764,31056
2025-04-10,North,Smartwatch,Amit Sharma,8,8078,64624
2025-04-10,North,Smartphone,Amit Sharma,7,21865,153055
2025-04-11,South,Laptop,Rahul Verma,9,57714,519426
2025-04-11,South,Monitor,Ananya Iyer,10,12117,121170
2025-04-11,East,Smartphone,Vikram Rao,3,23068,69204
2025-04-11,South,Headphones,Vikram Rao,5,3346,16730
2025-04-11,South,Monitor,Karan Mehta,9,11994,107946
2025-04-11,East,Monitor,Karan Mehta,9,11782,106038
2025-04-12,West,Smartphone,Vikram Rao,7,21304,149128
2025-04-12,West,Smartphone,Sneha Gupta,5,22786,113930
2025-04-12,South,Headphones,Amit Sharma,9,3469,31221
2025-04-12,West,Smartwatch,Rahul Verma,7,7794,54558
2025-04-12,South,Tablet,Priya Singh,8,18624,148992
2025-04-13,South,Laptop,Vikram Rao,7,55955,391685
2025-04-13,North,Laptop,Sneha Gupta,10,56233,562330
2025-04-14,South,Headphones,Sneha Gupta,6,3431,20586
2025-04-14,North,Smartphone,Sneha Gupta,2,22543,45086
2025-04-14,West,Smartphone,Sneha Gupta,7,22913,160391
2025-04-14,East,Tablet,Karan Mehta,8,18060,144480
2025-04-14,East,Tablet,Vikram Rao,6,18023,108138
2025-04-14,West,Headphones,Priya Singh,8,3591,28728
2025-04-15,South,Tablet,Ananya Iyer,7,17182,120274
2025-04-15,South,Monitor,Rahul Verma,1,11712,11712
2025-04-15,West,Tablet,Rahul Verma,4,17693,70772
2025-04-15,West,Smartwatch,Sneha Gupta,8,8040,64320
2025-04-16,East,Headphones,Divya Nair,8,3383,27064
2025-04-16,East,Smartphone,Rahul Verma,9,21974,197766
2025-04-16,North,Smartwatch,Amit Sharma,2,8356,16712
2025-04-16,North,Laptop,Karan Mehta,3,56883,170649
2025-04-17,North,Monitor,Rahul Verma,1,11662,11662
2025-04-17,West,Tablet,Amit Sharma,10,18247,182470
2025-04-17,West,Monitor,Divya Nair,1,11407,11407
2025-04-18,West,Laptop,Amit Sharma,9,56222,505998
2025-04-18,East,Laptop,Karan Mehta,3,52838,158514
